gene_id,SRR2085160,SRR2085161,SRR2085162,SRR2085163,SRR2085164,SRR2085165
ENSG00000237613,1,3,5,1,1,0
ENSG00000223972,2,2,3,0,4,2
ENSG00000243485,1,2,5,0,2,0
ENSG00000227232,437,809,736,605,729,585
ENSG00000230368,1,0,2,2,0,3
ENSG00000234711,0,1,1,2,2,5
ENSG00000187961,615,1629,1446,420,483,564
ENSG00000272512,25,67,86,10,48,10
ENSG00000188290,47,191,109,113,94,140
ENSG00000231702,2,4,4,2,2,0
ENSG00000187583,208,446,311,458,675,553
ENSG00000187642,109,161,101,157,187,161
ENSG00000224969,5,7,7,0,0,0
ENSG00000187608,516,577,364,218,305,231
ENSG00000241180,0,8,5,0,0,0
ENSG00000223764,653,922,904,0,3,11
ENSG00000187634,441,568,423,0,6,6
ENSG00000268179,0,4,6,0,0,0
ENSG00000272438,44,105,118,0,0,0
ENSG00000230699,337,866,947,0,6,0
ENSG00000188976,6966,9970,9498,9930,4886,6852
ENSG00000239945,0,2,4,0,1,0
ENSG00000238009,35,40,57,13,14,15
ENSG00000222623,0,0,0,0,2,1
ENSG00000241599,0,0,0,0,2,0
ENSG00000228463,27,45,65,22,42,42
ENSG00000237094,210,433,376,277,664,484
ENSG00000269732,0,0,0,0,0,0
ENSG00000256186,0,0,0,0,0,0
ENSG00000236601,0,0,0,0,0,2
ENSG00000236743,0,2,0,0,0,0
ENSG00000235146,0,0,0,0,0,2
ENSG00000239664,0,0,0,0,0,0
ENSG00000230021,6,20,16,9,12,6
ENSG00000223659,0,0,2,0,1,0
ENSG00000268663,0,0,2,0,0,0
ENSG00000223181,0,0,0,0,1,0
ENSG00000229905,0,0,0,0,0,0
ENSG00000237491,85,141,128,58,57,27
ENSG00000269831,0,1,0,0,2,0
ENSG00000228794,618,956,1088,459,384,451
ENSG00000233750,7,15,18,11,24,20
ENSG00000237683,73,136,102,400,1202,723
ENSG00000268903,6,15,11,19,38,24
ENSG00000269981,1,1,1,1,1,1
ENSG00000239906,5,13,7,9,37,27
ENSG00000241860,46,88,80,113,430,220
ENSG00000241670,11,14,4,48,32,25
ENSG00000250575,6,11,9,40,0,21
ENSG00000233653,5,13,11,3,5,3
ENSG00000224813,1,1,1,1,1,1
ENSG00000235249,1,3,1,0,1,0
ENSG00000236679,1,4,9,10,4,11
ENSG00000231709,2,3,3,0,0,4
ENSG00000225972,1503,1267,854,2714,1076,2035
ENSG00000225630,11306,15263,13079,14297,25970,16304
ENSG00000237973,28714,38017,27175,51909,53557,45574
ENSG00000229344,511,665,416,1705,925,879
ENSG00000240409,6,9,8,16,17,15
ENSG00000248527,16829,22869,16151,29074,24034,23773
ENSG00000198744,1083,1307,761,2728,1482,1703
ENSG00000185097,1,3,1,0,1,0
ENSG00000229376,4,36,21,10,4,3
ENSG00000224956,64,150,136,162,257,190
ENSG00000235373,39,87,56,61,220,121
ENSG00000240618,9,26,24,10,51,29
ENSG00000228327,59,117,107,53,111,103
ENSG00000230092,24,18,10,12,12,13
ENSG00000240453,3,2,0,0,0,0
ENSG00000177757,36,55,46,7,17,18
ENSG00000225880,35,52,63,44,45,38
ENSG00000237330,85,66,53,13,0,12
ENSG00000217801,46,114,97,20,34,29
ENSG00000273443,0,9,4,4,12,16
ENSG00000188157,1382,4060,2328,19823,28987,19818
ENSG00000242590,0,1,0,1,1,1
ENSG00000198976,2,3,5,4,10,6
ENSG00000272141,12,163,146,86,112,98
ENSG00000131591,189,677,472,602,431,604
ENSG00000226969,4,0,0,0,5,0
ENSG00000187730,15,18,6,0,0,0
ENSG00000149527,91,266,198,3837,6631,4791
ENSG00000224387,0,10,9,14,32,33
ENSG00000229393,0,10,6,16,31,18
ENSG00000272449,102,217,148,11,3,4
ENSG00000228037,6,5,5,0,0,0
ENSG00000238164,3,14,12,44,123,44
ENSG00000157873,61,103,64,682,1045,611
ENSG00000157881,598,1408,1180,837,754,740
ENSG00000177133,3,0,0,3,0,0
ENSG00000256761,0,0,0,0,0,0
ENSG00000157870,1334,2326,1645,1747,1158,1564
ENSG00000142606,105,254,164,0,16,0
ENSG00000237058,0,0,0,0,0,0
ENSG00000215912,18,11,4,3,5,3
ENSG00000067606,840,1057,987,1106,1030,856
ENSG00000182873,65,164,144,115,99,136
ENSG00000162585,1049,1448,1170,1083,792,875
ENSG00000269554,0,0,0,0,0,0
ENSG00000243558,0,0,0,0,0,0
ENSG00000234396,0,0,0,0,0,0
ENSG00000157933,2434,4374,3079,3142,2685,2838
ENSG00000272161,0,3,0,2,0,0
ENSG00000116151,137,267,320,92,83,103
ENSG00000157911,1671,2503,2187,670,588,632
ENSG00000271806,12,28,33,0,6,5
