"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000138119",10961.0888992647,9.20203065274201,0.238116268811408,0,0
"ENSG00000182718",96978.4907556236,12.0744848047392,0.306894815693294,0,0
"ENSG00000100097",15253.1585265429,9.59306546555881,0.21038031891806,0,0
"ENSG00000167034",8296.052571669,-6.4997999569092,0.167096540051981,0,0
"ENSG00000205420",92976.1484053223,13.0369417071387,0.348643113966047,4.35447903315935e-308,2.06202000136228e-304
"ENSG00000186081",166316.159896886,13.7313167252105,0.369762220313672,4.58031096880949e-304,1.80746704680837e-300
"ENSG00000188643",11521.6174440023,10.7705601971813,0.291233814721867,8.01741462167365e-301,2.71183322853381e-297
"ENSG00000135046",11666.7134331569,9.23802719542842,0.257453102420493,5.52178845766918e-283,1.63424231640292e-279
"ENSG00000107438",7241.77265293357,4.19118422377186,0.116735477312086,1.32197971624244e-282,3.4778348601636e-279
"ENSG00000166888",4310.54829979799,8.39019540211148,0.238698581640048,1.78755348327862e-271,4.2323903823588e-268
"ENSG00000166025",4351.33568644792,6.7314117985669,0.193546336499391,1.58370505087202e-265,3.4088531354088e-262
"ENSG00000142910",10362.0872569638,8.96164476424327,0.263553463436656,2.24735904435284e-254,4.43422667442851e-251
"ENSG00000169174",3761.10552127766,7.95130479327406,0.243710558113791,3.31690414051865e-234,6.04110302577384e-231
"ENSG00000169083",6895.06720057429,-8.69119634251775,0.266938161187576,2.04242968522148e-233,3.4541862612135e-230
"ENSG00000159184",3804.07598435672,-4.18482243045296,0.133925789420277,1.17151462866421e-214,1.84919679085883e-211
"ENSG00000100065",2418.58146301385,4.80964901158402,0.154532880346495,6.17313464893125e-213,9.13508181767157e-210
"ENSG00000068366",3303.2857850503,5.89050018973376,0.189386679278845,9.25347715715293e-213,1.28879163911712e-209
"ENSG00000034510",29908.6777267231,3.04456414872588,0.100293412236529,1.7211069026883e-203,2.26392489638617e-200
"ENSG00000072110",23583.9161736882,3.29663976875613,0.108585363663247,2.76432528441222e-203,3.44478577679095e-200
"ENSG00000137331",3684.70365920697,7.11972595186482,0.235839750357432,9.03979530332622e-201,1.07017616698427e-197
"ENSG00000134871",5360.51730373388,6.90485065619134,0.231380054687975,3.30254885655703e-196,3.72354520365242e-193
"ENSG00000176597",1623.34066406851,7.12741007586225,0.240207729194082,4.80952892819435e-194,5.17614620149352e-191
"ENSG00000152518",3933.78028883626,3.38398160370543,0.115136416771699,1.27165099886183e-190,1.30908176956746e-187
"ENSG00000153179",9707.13130052187,-4.89293602327355,0.16705287801145,7.47037719108157e-189,7.36983836471827e-186
"ENSG00000164308",1264.2871382056,5.11288518119056,0.177474319270221,8.49731330179885e-183,8.04763548186766e-180
"ENSG00000005884",34007.9340288719,7.57880354269462,0.263550703688758,1.68147477440986e-182,1.53124147052701e-179
"ENSG00000018408",1080.64440792445,5.1659192848641,0.18359629189174,1.74554096527001e-174,1.53071012721104e-171
"ENSG00000058085",130728.974310938,13.5108559375938,0.483820677499562,8.87346564856429e-174,7.50346593432345e-171
"ENSG00000178695",1864.78669875222,7.69767466227579,0.27454655069624,1.19565001563311e-173,9.76186393798107e-171
"ENSG00000164116",2481.84965467976,-4.9720884411697,0.177345990006163,3.1144887625677e-173,2.45805834771051e-170
"ENSG00000115641",2209.44898600242,7.77051036300426,0.278252293083453,2.64012205841575e-172,2.01645709603579e-169
"ENSG00000105976",6411.53137974785,7.96579163025684,0.28581213340873,1.13277705191345e-171,8.38148820567334e-169
