"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007015","actin filament organization","274/6809","463/18805",0.591792656587473,1.63440459790387,10.413147800764,2.46501860969686e-24,8.00019334063284e-21,5.31910655833372e-21,"PDLIM1/TMSB10/ACTN1/MET/PLS3/FSCN1/PAK1/SPTBN1/TPM2/PHLDB2/SMAD3/RAC2/ARRB1/CAPG/RND3/KANK1/TACSTD2/CNN3/VASP/TMSB4X/MYO1B/MYO1E/SORBS3/ZYX/LIMA1/ARPC2/FLNA/COTL1/SDC4/ARHGAP6/TAGLN2/AIF1L/LIMCH1/ITGB5/CGNL1/PXN/CAP1/CNN2/GSN/FLII/CDC42EP2/PACSIN1/CORO1C/MTSS1/TPM4/CORO1A/PFN2/IQGAP1/SVIL/DLC1/S100A10/LUZP1/INF2/CYRIB/ACTG1/ARHGAP28/SYNPO/SNX9/FAT1/EZR/KIRREL1/ACTR2/RHOU/SLIT2/MARCKSL1/TRIOBP/EPHA1/ARPC1B/PLEC/LPAR1/CDC42EP1/PPP1R9A/ARHGEF18/SWAP70/BIN3/TMEFF2/NEBL/SFRP1/TNFAIP1/PPM1F/CORO6/LIMD2/DSG3/TMOD3/SPTBN5/SPIRE2/CX3CL1/ARHGAP25/PFN1/ARHGAP18/MICAL2/PLEKHG2/RHOG/SRC/ARHGAP40/SEMA5A/CDC42EP5/SPTAN1/TMSB15A/RAPGEF3/SHROOM1/PAK2/TENM1/DNAI3/WASF3/BIN1/RHPN2/MYADM/DLG1/MLST8/GAS2/TAGLN3/MYO6/VILL/SSH1/MYL9/S1PR1/PPM1E/BCAR1/RHOV/CCDC88A/HCLS1/ROCK1/SHROOM3/RHOA/WDR1/SH3KBP1/NRP1/SSH3/CYFIP2/PREX1/CD47/SHROOM4/CORO2B/RHOD/POF1B/TRPV4/SERPINF2/TLE6/NEDD9/SHTN1/FCHSD1/IQGAP2/KANK4/TWF2/F11R/ARPIN/CTTN/ARAP1/JMY/TPM3/DSTN/HAX1/ABI1/TMOD1/CDC42/CALD1/FSCN2/RAC1/ELN/ARPC3/KANK2/SHANK3/NCK2/HSP90B1/SPTBN2/TGFBR1/MYO5B/PLEKHH2/CARMIL3/RHOB/ANG/SH3BP1/PTGER4/TMSB15B/PAWR/RHOQ/TWF1/ARHGEF2/PYCARD/RGCC/CARMIL1/CLASP1/ALOX15/SPTB/WASHC5/CSF3/FCHSD2/MYO1D/GBA2/TRPV3/MYO5A/VIL1/CAPZB/EVL/SRF/RHOBTB1/RASA1/FER/FHOD1/KCTD13/RHPN1/SPATC1L/ABI2/ZBED3/MICALL2/ACTR3/ROCK2/BBS4/WASL/ARHGEF10/NCKAP1/PRKCD/ARHGEF5/RHOC/ARF6/OOEP/PLS1/ALDOA/RHOF/PIK3CA/RHOBTB2/FHDC1/CTNNA2/PRKCI/EMP2/SPTBN4/SLC9A1/PRKCE/AVIL/CRACD/CCN2/PPARGC1B/CFL1/ARPC4/COBL/TGFB3/TCAP/MYO7A/EPS8/FERMT2/DIAPH2/RAC3/DIAPH3/ABL1/ADD3/SYNPO2/NCK1/ARHGAP12/FMN1/PRKN/MICAL3/CAP2/MSRB1/CARMIL2/SPIRE1/CORO7/RICTOR/WIPF1/WASHC4/AMOT/PIK3R1/PROX1/RND1/GHRL/GAS2L3/ZEB2/C9orf72/KANK3/FAM171A1/SH3D21/WAS/GDPD2/ESAM",274
"GO:0031589","cell-substrate adhesion","225/6809","361/18805",0.623268698060942,1.72133468454046,10.4258487256584,2.51776344315746e-24,8.00019334063284e-21,5.31910655833372e-21,"ANXA2/ACTN1/ITGA3/COL17A1/MMP14/TRIP6/ITGB8/PHLDB2/ITGB4/SMAD3/RAC2/COL16A1/KANK1/TACSTD2/FN1/SORBS3/ZYX/FAT2/SPOCK1/PKP2/CDK6/NTN4/GAS6/ARPC2/FLNA/SDC4/EPHA3/FBLN1/ARHGAP6/EPHB3/LIMCH1/PTPRK/PLEKHA2/ACTN4/ITGA2/ITGB5/PXN/LAMB1/CORO1C/EDA/THSD1/CORO1A/DLC1/S100A10/ACTG1/THBS1/RAB1A/ITGB6/FZD4/HSD17B12/DDR1/HACD1/ITGA6/ONECUT2/L1CAM/AJUBA/LYPD3/TRIOBP/PEAK1/CSPG5/EPHA1/SERPINE1/CTNNB1/EFNA5/CD44/EFEMP2/JAG1/SFRP1/ITGB1/NID1/JUP/PPM1F/PDPN/FERMT1/ITGA5/CCDC80/COL8A1/CX3CL1/SGCE/TLN1/RIN2/PLAU/PTPN1/BCAM/DOCK5/SRC/ARHGEF7/MELTF/PPFIA2/NOTCH1/SMAD6/LPXN/BCL6/HAS2/CRKL/MYADM/SPRY4/ITGA4/RRAS/SLK/SNED1/CSF1/BCR/AXL/CEACAM6/TIAM1/ROCK1/RHOA/HOXA7/HPSE/NRP1/CDH13/ADAM15/PREX1/CORO2B/RHOD/MERTK/BCL2L11/ADAM9/VAMP3/ITGA1/STK4/TESK2/NEDD9/MACF1/PARVA/CTTN/NEXMIF/MDK/GBP1/EFNA1/CDC42/CCL28/LAMA5/CD63/RAC1/CDH11/VCL/HOXD3/EDIL3/ITGBL1/PDGFB/UNC13D/CRK/RSU1/VWF/APOD/POPDC1/PTK2/MAP4K4/TIMM10B/P4HB/FBLN5/CARMIL1/CLASP1/ALOX15/ITGAV/MSLN/TTYH1/COL26A1/CAMSAP3/AJAP1/PIK3CB/FBLN2/MINK1/SRF/SPOCK2/PARVB/RASA1/FER/CCN1/THY1/MICALL2/ROCK2/COL1A1/VEGFA/DAB2/COL5A3/EPB41L5/MUC4/UTRN/PTPRA/EMP2/ANTXR1/PPARD/SLC9A1/PRKCE/EGFLAM/ITGAL/CCN2/CDK5/GSK3B/NID2/POLDIP2/DAPK3/ILK/TEK/ITGA11/FERMT2/FUT1/ITGAD/ITGB7/BST1/RAC3/ABL1/DUSP22/ABI3BP/RADIL/NPNT/FZD7/FMN1/ADAMTS13/COL13A1/DUSP3/NF1/SEMA3E/LAMC1/PIK3R1/STON1/CDKN2A/EGFL6/MIR503/STRC/SVEP1/ITGB3",225
"GO:0007264","small GTPase-mediated signal transduction","282/6809","487/18805",0.57905544147844,1.59922713717169,10.0940508004135,5.30765305997482e-23,1.12433783987133e-19,7.47541030973296e-20,"ITGA3/MET/ARHGEF28/RAC2/ARRB1/RND3/KANK1/NGEF/DNMBP/BCAR3/ARHGAP6/DOCK3/TGM2/RAP1GAP/RTN4/FARP1/CGNL1/KITLG/CDC42EP2/TNS3/ARHGEF3/TGFB2/DLC1/ABCA1/RASGRF2/HEG1/RB1/CTNNAL1/ARHGEF1/CYRIB/MCF2L/ARHGAP28/FGD1/SH2D3A/ARFGEF3/SPRY2/RHOU/NET1/ARHGAP29/SLIT2/DAB2IP/LPAR1/CDC42EP1/RTKN/LIPA/ARHGEF18/SWAP70/RAB38/RAP1B/RALGPS1/ITGB1/TNFAIP1/PDPN/DOCK9/PLD1/PLEKHG5/ARHGAP44/RALBP1/FAM13B/SYDE1/ARHGAP25/ARHGAP18/LRP4/TAX1BP3/RIN2/APOE/RHOG/DOCK5/PLK2/SRC/ARHGEF7/NGFR/KSR2/SPATA13/ARHGAP40/NOTCH1/KCTD10/PLEKHG3/ADRA2A/CDC42EP5/RALB/ROBO1/BCL6/RRAS2/RAPGEF3/CCDC125/RAB6C/CRKL/EPS8L2/SSX2IP/SPRY4/RRAS/PPP2CB/CSF1/RALA/RGS19/BCR/IGF1/DOCK10/RHOV/CCDC88A/PLEKHG1/TIAM1/ADGRG1/PREX2/ROCK1/ARHGAP31/RHOA/FAM13A/NRP1/CDH13/PREX1/RHOD/ARHGDIB/NUCB1/RAB12/TSC2/SDCBP/SHTN1/ARHGEF17/RAP2B/PLCE1/F11R/RGL1/KALRN/SRGAP3/ARHGAP27/ABL2/CELSR1/ARAP1/ARHGAP1/ARHGAP24/ARHGAP19/ARHGAP30/PLXNB1/VAV2/DENND3/CDC42/EPS8L1/ITSN1/PICALM/RAC1/YWHAQ/FARP2/DEF6/KANK2/CBL/TP53/IQSEC1/CRK/SCAI/MAP4K4/DNAJA3/FLOT1/RAP2A/RHOB/RAPGEF6/RASA3/F2R/GABARAP/SH3BP1/MYO9B/RHOQ/ITPKB/DOCK4/ARHGEF2/TRIO/PSD4/SIPA1L3/RRAD/CDKN1A/PSD/ARHGAP33/GNA12/GIT1/RAP2C/ARHGAP21/ARHGEF11/ITGAV/STAMBP/STMN3/RASIP1/PLCD4/NOTCH2/PIK3CB/RIPOR1/CDON/CCDC88C/GNA13/ARHGDIA/KCTD13/USO1/ARHGEF40/LRRK2/ABI2/FLCN/NUCB2/RAB4A/RTN4R/NTN1/ROCK2/VAV3/RALGDS/RAPGEF4/RASA2/ARHGEF10/NCKAP1/GARNL3/DOCK6/ARHGEF5/ARHGAP22/RHOC/ARF6/DENND1A/RGL3/RALGAPA1/RHOF/SOS1/DOCK2/ALS2/RASAL3/RABGEF1/MADD/ARHGEF4/RASL10A/ARHGDIG/CFL1/KBTBD7/RAB33A/RAB30/RERG/RAB15/RAB4B/MRAS/ROPN1B/ARHGAP45/EPS8/TEK/EPHB2/FERMT2/ARHGAP20/SPRY1/RASGRP1/DOK3/PLD2/TAGAP/STARD13/FGD3/RAC3/RELN/ABL1/SIPA1L1/NKIRAS1/ARHGAP12/RAB9B/FGD5/PLEKHG4/IQSEC2/TRIM67/RASGEF1A/FOXM1/MYO9A/MCF2/STARD8/AUTS2/ARHGEF9/NF1/DOK1/RASGEF1C/SEMA4D/FGD2/AMOT/ARHGAP32/COL1A2/SOS2/GPR4/RND1/NGF/CDKN2A/ARHGAP4/ARHGAP5/WAS",282
"GO:0042060","wound healing","261/6809","450/18805",0.58,1.60183580555148,9.73544133982661,1.63962194340061e-21,2.60494936257771e-18,1.73195854758159e-18,"MYOF/ANXA2/KRT6A/ANXA1/GATA2/CAV1/SYK/F3/PAK1/ANGPTL4/PHLDB2/SMAD3/MCAM/PLSCR1/KANK1/TNFRSF12A/FN1/UBASH3B/PLAUR/PDGFA/PROCR/CD59/ELK3/MYH9/PLAT/DCBLD2/EXT1/GAS6/FLNA/SDC4/WNT7A/CLDN1/FBLN1/TFPI/DUOX1/TNFAIP3/ITGA2/DST/ITGB5/CNN2/ANXA5/PEAR1/VPS4B/TGFB2/S100A10/DGKA/ERBB3/GRHL3/ACTB/ACTG1/THBS1/CD40/ITGB6/NRG1/DDR1/EDN1/TFPI2/CEACAM1/SERPINE2/PPARG/PPP3CA/AJUBA/GNAQ/SERPINE1/C1QTNF1/TIMP1/MRTFA/PAPSS2/PLEC/TGFB1/PTK7/IL1A/CD44/MYL12A/TMEFF2/PPL/ITGB1/CLDN3/PDPN/CLIC1/CD109/DSP/SERPINB2/RAB3A/FERMT1/ITGA5/FAP/SAA1/CX3CL1/IL6R/CHMP3/ADAM17/AHNAK/F8/P2RY1/TLN1/CLEC7A/METAP1/APOE/PLAU/SERPIND1/SRC/THBD/PRKCQ/ENG/HIF1A/ADRA2A/HBEGF/EREG/VEGFB/DGKB/ADIPOR2/ADTRP/PRDX2/ITPR3/PLA2G4A/MYL9/NPR2/SERPINA1/IGF1/TLR4/AXL/FOXA2/AP3B1/F5/ENTPD2/RHOA/SPRR3/HPSE/SH2B3/MERTK/GPX1/SMPD1/ODAM/CHMP4A/TSPAN8/SERPINF2/DGKH/ANO6/MACF1/DGKZ/SERPING1/RAP2B/F11R/EMILIN2/CHMP1A/ARHGAP24/MAPK14/VAV2/IL6ST/SYT7/VCL/LMAN1/FGF1/IL6/PDGFB/TNF/CRK/VWF/TGFBR1/AQP1/PTK2/WNT5A/SCUBE1/CD151/NFE2L2/ADORA2A/F12/RASA3/FZD6/F2R/DGKD/EPB41L4B/DUOX2/B4GALT1/ARL8B/MIA3/FOXC2/CLASP1/ANGPTL2/ALOX15/CDKN1A/SCRIB/GNA12/KLKB1/ITGAV/USF1/PABPC4/FKBP10/TSKU/VIL1/NOTCH2/AJAP1/PIK3CB/PROS1/BLOC1S3/CHMP1B/CLDN4/GP1BA/SRF/GNA13/YAP1/DGKQ/CCN1/FUNDC2/STXBP1/PDIA3/F13A1/LRG1/PDCD10/OCLN/CHMP2A/VAV3/VEGFA/ADRA2C/PRKCD/RHOC/PLCG2/PLPP3/PRRG4/PIK3CA/CHMP4B/PPARD/PRKCE/FGFR1OP2/AGER/DGKG/TOR1A/CHMP4C/ST3GAL4/ENTPD1/F10/SCARB1/ILK/TEC/MIR221/EPHB2/FERMT2/RAB27A/MFSD2B/POU2F3/PPARA/SYT11/LYN/PDIA2/FZD7/ADAMTS13/MSX2/CARMIL2/NF1/INSL3/MPIG6B/GPR4/GP6/ENPP4/SVEP1/ITGB3/SYTL4/NOS3/ANGPTL6/WAS",261
"GO:0051056","regulation of small GTPase mediated signal transduction","187/6809","303/18805",0.617161716171617,1.70446850824016,9.31369730829902,9.3474063848299e-20,1.18805535151188e-16,7.89905036393836e-17,"ITGA3/MET/ARHGEF28/ARRB1/KANK1/NGEF/DNMBP/ARHGAP6/DOCK3/TGM2/RAP1GAP/RTN4/CGNL1/KITLG/TNS3/ARHGEF3/TGFB2/DLC1/ABCA1/RASGRF2/HEG1/ARHGEF1/CYRIB/MCF2L/ARHGAP28/FGD1/ARFGEF3/SPRY2/RHOU/NET1/ARHGAP29/SLIT2/DAB2IP/LPAR1/ARHGEF18/SWAP70/RALGPS1/ITGB1/TNFAIP1/DOCK9/PLEKHG5/ARHGAP44/RALBP1/FAM13B/SYDE1/ARHGAP25/ARHGAP18/LRP4/APOE/SRC/SPATA13/ARHGAP40/NOTCH1/KCTD10/PLEKHG3/ROBO1/BCL6/CCDC125/CRKL/EPS8L2/SSX2IP/SPRY4/PPP2CB/CSF1/BCR/IGF1/DOCK10/PLEKHG1/TIAM1/ADGRG1/PREX2/ARHGAP31/FAM13A/NRP1/PREX1/RHOD/ARHGDIB/TSC2/ARHGEF17/F11R/KALRN/SRGAP3/ARHGAP27/ABL2/ARAP1/ARHGAP1/ARHGAP24/ARHGAP19/ARHGAP30/PLXNB1/VAV2/DENND3/EPS8L1/ITSN1/PICALM/RAC1/DEF6/KANK2/CBL/IQSEC1/CRK/SCAI/MAP4K4/FLOT1/RASA3/F2R/GABARAP/SH3BP1/MYO9B/ITPKB/ARHGEF2/TRIO/PSD4/SIPA1L3/PSD/GIT1/ARHGAP21/ARHGEF11/ITGAV/STAMBP/STMN3/RASIP1/NOTCH2/PIK3CB/RIPOR1/CDON/GNA13/ARHGDIA/KCTD13/ARHGEF40/FLCN/RTN4R/VAV3/RASA2/ARHGEF10/GARNL3/DOCK6/ARHGEF5/ARHGAP22/ARF6/DENND1A/RALGAPA1/RHOF/SOS1/DOCK2/ALS2/RASAL3/RABGEF1/MADD/ARHGEF4/KBTBD7/ARHGAP45/EPS8/TEK/EPHB2/FERMT2/ARHGAP20/SPRY1/RASGRP1/TAGAP/STARD13/FGD3/RELN/ABL1/SIPA1L1/ARHGAP12/FGD5/PLEKHG4/IQSEC2/TRIM67/RASGEF1A/FOXM1/MYO9A/MCF2/STARD8/AUTS2/ARHGEF9/NF1/SEMA4D/FGD2/AMOT/ARHGAP32/SOS2/GPR4/NGF/ARHGAP4/ARHGAP5",187
"GO:0045229","external encapsulating structure organization","204/6809","341/18805",0.598240469208211,1.65221207570281,9.15696784323636,3.48521044952037e-19,3.69141873445033e-16,2.45432188497803e-16,"ANXA2/COL4A2/COL17A1/CAV1/MMP14/FSCN1/PHLDB2/RUNX1/CAV2/SMAD3/PHLDB1/COL16A1/LOXL2/HAS3/ADAM8/MYO1E/SERPINB5/SERPINH1/EXT1/NTN4/COL12A1/GAS6/FBLN1/ITGA2/THSD4/LAMB1/TGFB2/ERO1A/RB1/COL7A1/OLFML2A/HSD17B12/MMP2/FOXC1/KLK5/APLP1/DDR1/PRICKLE1/BMP1/COL4A1/PPARG/APP/TGFB1/FURIN/COL5A2/EFEMP2/COL4A6/ITGB1/NID1/PDPN/PLOD3/SLC2A10/AXIN2/FERMT1/ADAMTS6/FLRT2/FAP/CCDC80/COL8A1/SLC39A8/MMP1/TGFBI/MMP11/SOX9/TNFRSF1A/COL6A1/KAZALD1/COL22A1/WT1/MELTF/PXDN/SULF2/ENG/NOTCH1/MMP15/MATN3/COL18A1/HAS2/ADAMTS3/PRDM5/ADTRP/GAS2/ADAMTS14/SELENON/PAPLN/BMP2/COL27A1/NFKB2/AEBP1/AGT/ADAM15/LAMA1/SMOC1/COL9A3/MMP10/COLGALT2/TLL1/MMP17/LRP1/ADAMTS17/TGFBR3/SERPINF2/PLOD2/HPN/WDR72/KLK7/CRTAP/HMCN1/SPINK5/SPINT2/ST7/IER3IP1/RIC8A/HRNR/MATN2/LAMA2/CTSS/ADAM10/FMOD/MIA/ELN/IL6/COLQ/MMP19/TNF/FKRP/TGFBR1/ADAMTSL3/FLOT1/FBLN5/B4GALT1/MMP9/CST3/FOXC2/RGCC/APBB2/CLASP1/SERAC1/MMP16/P4HA1/FKBP10/ADAMTSL5/DNAJB6/ERCC2/POMT1/ZNF469/SPOCK2/PTX3/CCN1/COL9A2/SMPD3/TMEM38B/SMAD4/MMP7/COL1A1/CYP1B1/ELF3/CSGALNACT1/PRSS1/COL5A3/COL8A2/CHADL/ATXN1L/ANTXR1/EGFLAM/LTBP4/IMPG1/NID2/CREB3L1/SPINT1/SH3PXD2B/ADAMTS1/NPHP3/SULF1/CTSV/MPZL3/FGFR4/P3H4/ABL1/LOX/ADAMTSL1/LOXL1/MMP24/ABI3BP/COL4A3/KLK4/NPNT/ADAMTS13/COL13A1/CARMIL2/BCL3/NF1/MMP13/LAMC1/TGM1/P4HA3/MYH11/COL1A2/COL4A4/EGFL6/IMPG2/ITGB3/ADAMTS20/TLL2",204
"GO:0002064","epithelial cell development","145/6809","221/18805",0.656108597285068,1.81203145424375,9.14845908958211,4.45566566884585e-19,4.04510790364506e-16,2.68947999921011e-16,"AR/HOXB13/MET/GATA2/FRMD6/SFN/AMOTL2/ARHGEF26/EPHA2/EPAS1/MYO1E/PODXL/MSN/CDK6/SDC1/FLNA/WNT7A/CLDN1/TFCP2L1/FOXA1/AKR1B1/CEBPA/IQGAP1/DLL1/LUZP1/HEG1/PALLD/VIM/TJP3/TP63/ICAM1/FAT1/EZR/ONECUT2/PLEC/TGFB1/IL1A/BCL11B/FOSL2/JAG1/RAP1B/KLF5/CLDN3/GSK3A/PLOD3/IL1B/C1GALT1/SOX9/TNFRSF1A/SRC/EDNRA/NOTCH1/HIF1A/RAPGEF3/COL18A1/MYADM/RARG/GJA1/ROCK1/WNT5B/HPSE/GRHL2/SOX8/RILPL2/TIGAR/GPX1/POF1B/HOXA13/BMP4/VSIG1/F11R/HSD17B4/PRDM1/PTPRS/TJP2/SPINT2/TMOD1/IL6ST/S1PR3/WNT7B/ADAM7/VCL/AMPD2/ACTA2/PDGFB/TNF/FLNB/BMAL1/E2F4/NKX6-1/BHLHA15/WNT5A/GSTM3/FNDC3A/RARA/B4GALT1/FOXC2/SIPA1L3/IFT74/CDKN1A/VEZF1/SPDEF/RAP2C/CDH2/BAD/NOTCH2/AFDN/MYD88/CCDC88C/FER/YAP1/ABI2/ROBO4/DNASE1L2/RARB/MARVELD2/ROCK2/VEGFA/NKX3-2/EPB41L5/ESR1/SIDT2/MAGI1/ZDHHC21/ABCA12/GDF11/GSK3B/CLIC4/FOXP3/FZD5/CLOCK/DMRT1/NKX2-2/ADAMTSL4/ATRX/ROS1/NOTCH4/BFSP1/PLCB1/HOXA5/PDE2A/PROX1/SMO/GPR4/BMP6",145
"GO:0030198","extracellular matrix organization","202/6809","339/18805",0.595870206489675,1.64566591761468,9.03794835745074,9.78269621050932e-19,7.77112930222334e-16,5.16680823539269e-16,"ANXA2/COL4A2/COL17A1/CAV1/MMP14/FSCN1/PHLDB2/RUNX1/CAV2/SMAD3/PHLDB1/COL16A1/LOXL2/HAS3/ADAM8/MYO1E/SERPINB5/SERPINH1/EXT1/NTN4/COL12A1/GAS6/FBLN1/ITGA2/THSD4/LAMB1/TGFB2/ERO1A/RB1/COL7A1/OLFML2A/HSD17B12/MMP2/FOXC1/KLK5/APLP1/DDR1/PRICKLE1/BMP1/COL4A1/PPARG/APP/TGFB1/FURIN/COL5A2/EFEMP2/COL4A6/ITGB1/NID1/PDPN/PLOD3/SLC2A10/AXIN2/FERMT1/ADAMTS6/FLRT2/FAP/CCDC80/COL8A1/SLC39A8/MMP1/TGFBI/MMP11/SOX9/TNFRSF1A/COL6A1/KAZALD1/COL22A1/WT1/MELTF/PXDN/SULF2/ENG/NOTCH1/MMP15/MATN3/COL18A1/HAS2/ADAMTS3/PRDM5/ADTRP/GAS2/ADAMTS14/SELENON/PAPLN/BMP2/COL27A1/NFKB2/AEBP1/AGT/ADAM15/LAMA1/SMOC1/COL9A3/MMP10/COLGALT2/TLL1/MMP17/LRP1/ADAMTS17/TGFBR3/SERPINF2/PLOD2/HPN/WDR72/KLK7/CRTAP/HMCN1/SPINK5/SPINT2/ST7/IER3IP1/RIC8A/MATN2/LAMA2/CTSS/ADAM10/FMOD/MIA/ELN/IL6/COLQ/MMP19/TNF/FKRP/TGFBR1/ADAMTSL3/FLOT1/FBLN5/B4GALT1/MMP9/CST3/FOXC2/RGCC/APBB2/CLASP1/SERAC1/MMP16/P4HA1/FKBP10/ADAMTSL5/DNAJB6/ERCC2/POMT1/ZNF469/SPOCK2/PTX3/CCN1/COL9A2/SMPD3/TMEM38B/SMAD4/MMP7/COL1A1/CYP1B1/ELF3/CSGALNACT1/PRSS1/COL5A3/COL8A2/CHADL/ATXN1L/ANTXR1/EGFLAM/LTBP4/IMPG1/NID2/CREB3L1/SPINT1/SH3PXD2B/ADAMTS1/NPHP3/SULF1/CTSV/MPZL3/FGFR4/P3H4/ABL1/LOX/ADAMTSL1/LOXL1/MMP24/ABI3BP/COL4A3/KLK4/NPNT/ADAMTS13/COL13A1/CARMIL2/BCL3/NF1/MMP13/LAMC1/P4HA3/MYH11/COL1A2/COL4A4/EGFL6/IMPG2/ITGB3/ADAMTS20/TLL2",202
"GO:0043062","extracellular structure organization","202/6809","340/18805",0.594117647058824,1.64082572373934,8.98365983388099,1.55465365162375e-18,1.09775821734099e-15,7.2986897749915e-16,"ANXA2/COL4A2/COL17A1/CAV1/MMP14/FSCN1/PHLDB2/RUNX1/CAV2/SMAD3/PHLDB1/COL16A1/LOXL2/HAS3/ADAM8/MYO1E/SERPINB5/SERPINH1/EXT1/NTN4/COL12A1/GAS6/FBLN1/ITGA2/THSD4/LAMB1/TGFB2/ERO1A/RB1/COL7A1/OLFML2A/HSD17B12/MMP2/FOXC1/KLK5/APLP1/DDR1/PRICKLE1/BMP1/COL4A1/PPARG/APP/TGFB1/FURIN/COL5A2/EFEMP2/COL4A6/ITGB1/NID1/PDPN/PLOD3/SLC2A10/AXIN2/FERMT1/ADAMTS6/FLRT2/FAP/CCDC80/COL8A1/SLC39A8/MMP1/TGFBI/MMP11/SOX9/TNFRSF1A/COL6A1/KAZALD1/COL22A1/WT1/MELTF/PXDN/SULF2/ENG/NOTCH1/MMP15/MATN3/COL18A1/HAS2/ADAMTS3/PRDM5/ADTRP/GAS2/ADAMTS14/SELENON/PAPLN/BMP2/COL27A1/NFKB2/AEBP1/AGT/ADAM15/LAMA1/SMOC1/COL9A3/MMP10/COLGALT2/TLL1/MMP17/LRP1/ADAMTS17/TGFBR3/SERPINF2/PLOD2/HPN/WDR72/KLK7/CRTAP/HMCN1/SPINK5/SPINT2/ST7/IER3IP1/RIC8A/MATN2/LAMA2/CTSS/ADAM10/FMOD/MIA/ELN/IL6/COLQ/MMP19/TNF/FKRP/TGFBR1/ADAMTSL3/FLOT1/FBLN5/B4GALT1/MMP9/CST3/FOXC2/RGCC/APBB2/CLASP1/SERAC1/MMP16/P4HA1/FKBP10/ADAMTSL5/DNAJB6/ERCC2/POMT1/ZNF469/SPOCK2/PTX3/CCN1/COL9A2/SMPD3/TMEM38B/SMAD4/MMP7/COL1A1/CYP1B1/ELF3/CSGALNACT1/PRSS1/COL5A3/COL8A2/CHADL/ATXN1L/ANTXR1/EGFLAM/LTBP4/IMPG1/NID2/CREB3L1/SPINT1/SH3PXD2B/ADAMTS1/NPHP3/SULF1/CTSV/MPZL3/FGFR4/P3H4/ABL1/LOX/ADAMTSL1/LOXL1/MMP24/ABI3BP/COL4A3/KLK4/NPNT/ADAMTS13/COL13A1/CARMIL2/BCL3/NF1/MMP13/LAMC1/P4HA3/MYH11/COL1A2/COL4A4/EGFL6/IMPG2/ITGB3/ADAMTS20/TLL2",202
"GO:0032970","regulation of actin filament-based process","225/6809","392/18805",0.573979591836735,1.58520872734466,8.82145272347264,5.6453432797992e-18,3.58761565431239e-15,2.38530609738042e-15,"MET/CAV1/FRMD6/FSCN1/PAK1/SPTBN1/PHLDB2/ARHGEF26/SMAD3/RAC2/CAPG/RND3/KANK1/TACSTD2/NGEF/VASP/PDGFA/ARAP3/SORBS3/LIMA1/PKP2/MYH9/TRPM2/ARPC2/FLNA/COTL1/SDC4/EPHA3/ARHGAP6/LIMCH1/PRKD1/CGNL1/PXN/CNN2/GSN/FLII/CDC42EP2/MTSS1/CORO1A/PFN2/SVIL/DLC1/S100A10/CYRIB/GRHL3/ACTG1/ARHGAP28/SYNPO/SNX9/EDN1/KIRREL1/SLIT2/RYR2/SRI/TRIOBP/EPHA1/LPAR1/CDC42EP1/EFNA5/TGFB1/IL1A/ARHGEF18/SWAP70/FGF13/TMEFF2/SFRP1/JUP/PPM1F/PDPN/DSP/ARHGAP44/TMOD3/RANGRF/SPTBN5/CX3CL1/PFN1/ARHGAP18/PLEKHG2/RHOG/ARHGAP40/SEMA5A/ARAP2/CDC42EP5/SPTAN1/RAPGEF3/PAK2/TENM1/DNAI3/WASF3/BIN1/RHPN2/MYADM/DLG1/MLST8/VILL/SSH1/RALA/S1PR1/PPM1E/CCDC88A/HCLS1/ROCK1/DSG2/RHOA/WDR1/ATP2A2/NRP1/SSH3/CYFIP2/PREX1/CD47/CORO2B/ODAM/LRP1/SERPINF2/NEDD9/FCHSD1/IQGAP2/KANK4/TWF2/F11R/FZD10/ARPIN/CTTN/ABL2/CELSR1/ARAP1/DSTN/MYO3B/HAX1/TMOD1/PDGFRB/CDC42/RAC1/ACTA2/ELN/ARPC3/KANK2/SHANK3/NCK2/SPTBN2/CRK/TGFBR1/PLEKHH2/CARMIL3/SH3BP1/PTGER4/RHOQ/TWF1/PYCARD/RGCC/CARMIL1/CLASP1/ALOX15/SPTB/WASHC5/CSF3/FCHSD2/GBA2/VIL1/ABRACL/EVL/RHOBTB1/RASA1/FER/FHOD1/RHPN1/ABI2/SMAD4/ROCK2/BBS4/SIGLEC15/ARHGEF10/NCKAP1/PRKCD/ARHGEF5/DIXDC1/RHOC/ARF6/RHOF/NAA20/PIK3CA/DSC2/RHOBTB2/CTNNA2/ANK2/SPTBN4/SLC9A1/PRKCE/AVIL/CRACD/CCN2/TGFB3/DAPK3/EPS8/FERMT2/BST1/TNNC1/RAC3/ABL1/ADD3/ATP2A1/SYNPO2/NCK1/FMN1/PRKN/CSF1R/CARMIL2/RICTOR/BST2/WASHC4/AMOT/ANKRD23/PIK3R1/PROX1/ADCY10/RND1/ADORA1/ZEB2/ITGB3/C9orf72/KANK3/OR2A4/WAS/ESAM",225
