"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0030216","keratinocyte differentiation",127,0.713474976917915,2.04895411153868,1e-10,2.51782608695652e-08,1.98215102974828e-08,2417,"tags=46%, list=13%, signal=41%","8626/3552/25818/3872/3852/3855/79413/3853/3861/2069/2810/8796/6699/3868/1001/204219/3851/3887/135228/301/6707/1475/6698/2118/9119/3854/5317/247/3204/2296/6703/182/1969/353133/3713/1594/3892/5493/286887/23596/643414/5339/64919/677/23022/54206/2312/23581/2355/3664/1832/7538/6278/121391/56603/4851/2137/7474/64332"
"GO:0043588","skin development",259,0.652710498834385,1.98572334543059,1e-10,2.51782608695652e-08,1.98215102974828e-08,2569,"tags=41%, list=14%, signal=35%","8626/3694/3552/25818/3872/3852/3855/79413/3853/3861/3624/3606/10468/2069/2707/22943/2810/8796/6699/3868/1001/204219/3851/3691/3887/9076/135228/301/7042/6707/11005/1475/6698/2118/9119/4233/3854/5317/3675/94234/247/7124/4804/2304/3857/3204/2296/50509/6703/182/1969/81031/353133/3713/1594/3673/388698/11166/3655/3892/5154/79755/5493/6261/286887/1290/23596/57822/10673/1956/28514/1278/4038/55612/643414/2131/5339/25928/64919/677/23022/54206/2312/23581/2355/3664/1832/7538/6278/2263/10855/10913/121391/56603/4851/2137/6662/7474/64332/3911/55366/5920/54101/7357/10758"
"GO:0002685","regulation of leukocyte migration",183,0.66598995223429,1.98274000816385,1e-10,2.51782608695652e-08,1.98215102974828e-08,2518,"tags=40%, list=14%, signal=35%","5054/3552/7424/57402/972/4323/7040/6376/3576/5880/6364/90865/301/11035/59341/5724/54209/3569/29108/3958/79890/3676/7124/3383/9353/284340/1906/5228/3204/7057/22914/100528032/56477/10164/7070/63940/2621/4681/100532736/8995/101/3673/3579/7499/257144/3965/4254/9466/84830/1265/11151/4478/23143/23075/1893/1435/683/3690/351/8764/623/4192/7423/6868/284114/6793/6278/3627/7422/7474/5734/57142/64065/196527"
"GO:0006935","chemotaxis",329,0.639463387835086,1.96426279992223,1e-10,2.51782608695652e-08,1.98215102974828e-08,2918,"tags=43%, list=16%, signal=37%","5054/1902/7424/2152/6280/5328/10371/57402/972/3553/4313/2919/7040/6288/6376/3084/3576/6586/5588/2920/5880/1901/2921/6279/6364/8061/1826/301/7042/3730/6372/6373/8828/23767/59341/5288/123920/4233/5724/54209/3569/9420/1012/3958/79890/6374/9353/284340/1906/5228/3897/9547/7057/22914/100528032/9037/5329/56477/1794/223117/5337/7162/63940/1969/2621/4681/100532736/8995/101/6850/23768/3673/2246/3579/7074/7114/30817/1839/5355/5154/4088/57449/652/8482/9048/6092/3965/9723/10512/3491/11151/2022/23075/5339/1435/1672/6405/683/10509/2242/3690/351/1960/112616/6091/1948/4192/7423/6868/3273/284114/6278/25865/9423/3627/3672/4851/7422/5155/7474/7473/64065/196527/2247/51571/9750/2549/719/55742/4354/1890/8829/3685/7857/347733/4739/177/9564/1130/9732/55558"
"GO:0042330","taxis",329,0.639463387835086,1.96426279992223,1e-10,2.51782608695652e-08,1.98215102974828e-08,2918,"tags=43%, list=16%, signal=37%","5054/1902/7424/2152/6280/5328/10371/57402/972/3553/4313/2919/7040/6288/6376/3084/3576/6586/5588/2920/5880/1901/2921/6279/6364/8061/1826/301/7042/3730/6372/6373/8828/23767/59341/5288/123920/4233/5724/54209/3569/9420/1012/3958/79890/6374/9353/284340/1906/5228/3897/9547/7057/22914/100528032/9037/5329/56477/1794/223117/5337/7162/63940/1969/2621/4681/100532736/8995/101/6850/23768/3673/2246/3579/7074/7114/30817/1839/5355/5154/4088/57449/652/8482/9048/6092/3965/9723/10512/3491/11151/2022/23075/5339/1435/1672/6405/683/10509/2242/3690/351/1960/112616/6091/1948/4192/7423/6868/3273/284114/6278/25865/9423/3627/3672/4851/7422/5155/7474/7473/64065/196527/2247/51571/9750/2549/719/55742/4354/1890/8829/3685/7857/347733/4739/177/9564/1130/9732/55558"
"GO:0001525","angiogenesis",465,0.621840510143228,1.9423510907107,1e-10,2.51782608695652e-08,1.98215102974828e-08,2845,"tags=42%, list=15%, signal=36%","9982/5054/3552/8091/306/1282/7424/2152/718/3606/857/1295/302/2069/3553/3490/4313/10553/2191/4323/7040/6376/4897/255324/3576/1909/7045/6678/4162/290/1901/9022/9734/5743/4882/301/7042/7476/3135/7048/11005/8828/10000/147372/27286/84034/3569/2034/1012/2113/4017/51129/7124/4804/9353/284340/1284/1906/5228/2303/3204/7057/154810/7058/2296/9037/7052/133/1296/958/8877/7128/54538/7039/7070/182/861/3213/1969/634/3696/6422/1490/8742/101/6850/3952/51421/7010/2246/3579/140862/688/29775/3339/51330/4327/1464/5154/161742/23213/652/9723/3716/3491/79812/90993/83478/8838/28514/84830/54922/56917/2335/2004/2022/4059/3953/1893/5176/820/10253/6303/3690/2316/3678/10769/5468/407010/10411/2896/2828/3688/113026/1647/1960/6464/1636/574506/407006/3200/2534/6237/6091/4240/1948/7098/4192/7423/3273/28984/4855/6278/25865/2263/5371/3627/10855/6672/7837/4851/4627/7422/2041/5155/7474/80781/9525/71/57142/3091/407018/90/153090/6461/9047/2247/2549/719/55742/1512/1499/7046/3670/1890/51752/5315/8829/3685/7857/1545/3728/6093"
"GO:0045785","positive regulation of cell adhesion",406,0.621811589414407,1.93692841067305,1e-10,2.51782608695652e-08,1.98215102974828e-08,2417,"tags=35%, list=13%, signal=31%","3552/10630/960/3606/4811/857/8728/972/1295/3553/84433/7040/6288/6376/2625/2810/3084/3037/80380/3575/5588/4680/3956/3170/301/7042/6657/8808/3135/7048/912/3112/5345/5724/84034/3569/3908/114548/5317/29108/1012/10085/3675/2113/3676/7124/2303/2192/64115/22914/100528032/6281/7052/1601/5329/56477/29126/10164/942/3481/1307/7070/3566/140885/861/133584/6422/388931/8995/101/6850/1947/3952/3673/3976/7010/864/3912/55083/3655/30008/4088/9200/3965/79679/59339/1021/5896/3716/3491/4254/8651/3115/6385/10673/10272/2335/970/11151/55612/3111/3133/1435/2525/8744/284217/3690/2316/3105/3678/84978/23149/8764/10326/1960/54453/1842/201294/2534/6237/1948/4192/10109/3273/284114/25890/8631/25975/25865/151887/4651/11078/7422/80005/2041/8876/5155/2043/7474/3600/64332"
"GO:0008544","epidermis development",316,0.631505389348636,1.93493314596873,1e-10,2.51782608695652e-08,1.98215102974828e-08,2559,"tags=39%, list=14%, signal=34%","8626/3552/25818/646/3872/3852/3918/1308/3855/79413/3853/2709/3861/3866/3624/3606/10468/2069/5744/5650/22943/2810/8796/3914/6699/3868/1001/204219/3851/3887/9076/2012/135228/301/7042/6707/11005/1475/6698/2118/9119/4233/3854/2171/5317/3885/94234/247/1474/7124/4804/2304/3857/3204/2296/4909/55283/3881/6703/182/1969/1490/1687/353133/84189/3909/3713/1594/1294/1382/388698/23764/11166/3892/5154/79755/652/5493/286887/23596/57822/1956/28514/4038/55612/643414/2131/5339/25928/64919/4664/677/23022/54206/2312/23581/4647/4665/2355/3664/1832/7538/8609/6278/2263/10855/10913/121391/56603/4851/11078/2137/6662/7474/64332/3911/2735/55366/10555/5920/2247/7357"
"GO:0030198","extracellular matrix organization",273,0.633402504461293,1.92780755131076,1e-10,2.51782608695652e-08,1.98215102974828e-08,2373,"tags=42%, list=13%, signal=37%","25818/1282/1308/10630/4811/857/1295/302/4313/2191/4323/7040/169044/4312/5650/3037/7045/11107/4318/650/55959/11174/7092/7042/858/83872/11005/1303/3038/5345/169611/2331/85301/3569/3908/59277/8190/4017/10631/7124/79875/1284/10516/2303/2192/1520/2296/5268/871/5806/1296/50509/6624/64093/4319/140766/1307/861/84627/133584/2621/144165/81031/101/1294/23768/3673/1288/3912/30008/4327/4088/23213/1290/3491/4241/90993/90102/4148/84830/4326/89932/1278/55612/150356/2022/2131/339366/165/284217/4316/3690/649/23187/4643/5468/4035/3688/351/92949/5045/1842/50939/30001/780/22795/28984/25890/25975/151887/7837/4851/6662/255631/80781"
"GO:0043062","extracellular structure organization",274,0.63200174067835,1.92388814050654,1e-10,2.51782608695652e-08,1.98215102974828e-08,2373,"tags=42%, list=13%, signal=37%","25818/1282/1308/10630/4811/857/1295/302/4313/2191/4323/7040/169044/4312/5650/3037/7045/11107/4318/650/55959/11174/7092/7042/858/83872/11005/1303/3038/5345/169611/2331/85301/3569/3908/59277/8190/4017/10631/7124/79875/1284/10516/2303/2192/1520/2296/5268/871/5806/1296/50509/6624/64093/4319/140766/1307/861/84627/133584/2621/144165/81031/101/1294/23768/3673/1288/3912/30008/4327/4088/23213/1290/3491/4241/90993/90102/4148/84830/4326/89932/1278/55612/150356/2022/2131/339366/165/284217/4316/3690/649/23187/4643/5468/4035/3688/351/92949/5045/1842/50939/30001/780/22795/28984/25890/25975/151887/7837/4851/6662/255631/80781"
