"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"R-HSA-6809371","Formation of the cornified envelope",73,0.794361635899893,2.12879918264884,1e-10,3.9e-08,3.49736842105263e-08,1903,"tags=60%, list=10%, signal=54%","25818/3872/1830/3852/3855/3853/25984/3861/3866/6699/3868/3860/3851/3887/11202/6707/1825/11005/1475/6698/3880/9119/3854/5266/5317/404203/3857/26085/3881/6703/353133/3713/3892/3884/5493/286887/6700/5318/643414/823/5045/126638/2312/23581"
"R-HSA-6805567","Keratinization",79,0.78488629718341,2.11545863862468,1e-10,3.9e-08,3.49736842105263e-08,1903,"tags=58%, list=10%, signal=52%","25818/3872/1830/3852/3855/3853/25984/3861/3866/6699/3868/3860/730755/3851/3887/11202/6707/1825/11005/1475/6698/3880/9119/3854/5266/5317/404203/3857/26085/3881/6703/353133/85294/3713/3892/3884/5493/286887/6700/5318/643414/823/5045/126638/2312/23581"
"R-HSA-1474244","Extracellular matrix organization",265,0.625038662823583,1.91067164917144,1e-10,3.9e-08,3.49736842105263e-08,2399,"tags=46%, list=13%, signal=41%","5054/3694/1282/3918/1308/7076/960/1462/4811/8728/4237/1295/4313/4323/2201/7040/169044/4312/5650/8910/3914/6678/2202/4680/3371/3691/4318/650/7092/7042/84290/8082/1303/9644/8076/3384/2331/85301/84034/3908/3675/59277/4017/3676/3383/1284/10516/2192/1520/7057/4053/10536/871/1296/50509/5654/3910/4319/140766/1307/81578/634/3696/825/101/667/3909/1294/3673/1288/3912/3339/3655/30008/4327/5154/652/6382/1290/147968/8200/55214/6385/4148/2335/4326/1278/4038/2200/1756/5339/1508/3386/284217/6696/4316/823/87/3690/649/3693/3678/827/3688/351/5045/59/375790/26577/780/6868/22795/8974/4052/7043/3672/7837/824/255631/5155/80781/71"
"R-HSA-449147","Signaling by Interleukins",376,0.606157875719194,1.89274533604835,1e-10,3.9e-08,3.49736842105263e-08,3274,"tags=34%, list=18%, signal=28%","3552/7076/3606/302/3553/5055/4313/5803/2919/7040/834/6288/4312/2625/3576/3635/163702/3575/9021/3934/2920/1901/6364/6775/5743/11213/90865/4318/1437/301/6657/8808/133396/3598/1848/9173/6778/5724/3569/9235/56300/53833/7124/3383/79792/1440/6624/23529/942/1489/3566/6850/3976/3667/1846/4088/6382/3965/5896/3716/3560/9466/8651/9180/85480/8660/2335/1265/1278/5602/4478/3556/1435/132014/8809/3557/121457/1849/6935/3688/351/4582/5784/7431/6464/10538/2534/3656/3718/5292/3726/3627/5782/58985/7422/3600/3091/9446/1052/3911/7850/2308/2247/5908/3574/1026/5783/57162/4791/3588/6885/177/4170/9683/7132/5600/8835/867/51561/7525/4507/3572/3589/598/257397/3595/6804"
"R-HSA-9006934","Signaling by Receptor Tyrosine Kinases",474,0.523263215968086,1.64238815958129,4.92997599557888e-09,1.53815251062061e-06,1.37935538907881e-06,3177,"tags=31%, list=17%, signal=26%","9982/1282/3918/7424/2152/857/374/2069/5803/1535/222584/348/3084/255324/3914/558/6678/2250/8061/4318/84985/3730/5327/1848/8828/6778/10000/23767/4233/85301/3908/3675/5058/6236/1284/5228/7057/84951/7058/4486/4909/50509/8877/2099/2323/4688/29126/3910/3481/7039/56034/639/3909/23768/3673/2246/7074/3667/1839/3912/1846/5154/627/161742/1290/4254/5796/8651/1956/8660/2335/1278/5125/11033/4664/284217/6696/10253/6446/2242/3690/1849/2591/3688/64759/4803/5045/1960/6464/5603/1958/2534/5829/4665/3718/4192/7423/6868/3726/2263/5782/9542/7422/255631/5155/3710/71/3091/2963/3911/5770/6461/685/9047/23543/2247/1301/4734/200734/2549/5908/1499/60/9306/8829/3709/3685/3728/6093/9564/5600/6714/57761/83737/1003/867/8440/30011/54845/10653/10019/581/8874/10312/1277/7525"
"R-HSA-9725554","Differentiation of Keratinocytes in Interfollicular Epidermis in Mammalian Skin",36,0.835070832424027,2.01436608739645,8.61359210044499e-08,1.91960052524203e-05,1.72142314308141e-05,1903,"tags=64%, list=10%, signal=57%","8626/25818/3852/3861/3866/2707/5650/93099/3691/11005/3880/2171/3963/653499/5646/3713/3655/1464/28514/6700/3688/2312/23581"
"R-HSA-9734767","Developmental Cell Lineages",92,0.694824973596585,1.91682951359717,7.48789675549781e-08,1.91960052524203e-05,1.72142314308141e-05,1903,"tags=51%, list=10%, signal=46%","8626/25818/306/3872/7980/3852/3918/3855/25984/3861/3866/972/302/2707/5650/3914/93099/760/3691/3170/301/11005/3880/85301/3908/2171/3963/653499/5646/50509/3910/203111/3909/3713/3912/3655/1464/1290/28514/2335/6700/1278/1358/284217/3688/2312/23581"
"R-HSA-6783783","Interleukin-10 signaling",31,0.838002824440195,1.99002283756411,2.64538018071304e-07,5.15849135239042e-05,4.62593455285214e-05,1716,"tags=65%, list=9%, signal=59%","3552/7076/3606/3553/2919/3576/2920/6364/5743/1437/5724/3569/7124/3383/1440/942/3976/3716/1435/3557"
"R-HSA-6785807","Interleukin-4 and Interleukin-13 signaling",88,0.693166878102411,1.89921852599054,5.42383848534332e-07,9.40132004126175e-05,8.43073841756874e-05,2553,"tags=49%, list=14%, signal=42%","3552/7076/3606/3553/4313/7040/6288/4312/2625/3576/9021/3934/1901/5743/4318/301/6657/3598/6778/3569/7124/3383/6624/3566/3976/3716/8651/2335/1278/6935/3688/4582/7431/10538/3718/5292/3726/7422/3091/1052/3911/2308/2247"
"R-HSA-112316","Neuronal System",300,-0.440010449956163,-1.60167883685855,1.17579061634244e-06,0.000183423336149421,0.000164486918854643,2065,"tags=28%, list=11%, signal=25%","2035/1136/1741/2901/56659/3780/4646/2036/783/54413/6539/3768/84254/3760/3752/26960/27330/8536/9369/8541/9066/7915/4128/27165/11141/8495/27163/2786/3778/5802/23136/3784/8514/9495/5567/1740/107/22865/6854/10382/5864/51764/2562/89832/2788/9254/2567/10815/6506/57622/22843/2905/3748/3751/2902/81033/57502/55799/3767/2556/4137/113457/80059/170850/3765/116443/3785/9378/9256/9132/8825/112714/6833/3359/57497/2558/1139/27092/8499/1135/22999/22871/5577/3781"
