"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Development and regeneration","hsa04360","Axon guidance","120/3293","184/8546",0.652173913043478,1.69252300664123,7.51858708327612,1.26009391680966e-13,4.38512683049763e-11,2.74567832399579e-11,"4233/5058/5362/8482/5880/1947/25791/56288/1969/57556/59277/2042/56924/106821730/2049/2771/8503/6405/1948/84552/10509/9353/3897/103910/5530/2041/1946/10627/10512/56920/10371/3688/658/6259/4756/2534/2045/6714/5361/9037/10298/285220/6091/5062/2773/6586/6237/54434/10398/90249/6093/3985/81029/387/223117/10505/8829/2050/54961/29984/1945/5594/50855/56896/9901/5364/1942/998/5879/8440/2770/5747/7474/1944/5727/7220/23654/57522/3983/1808/55558/5291/5921/5534/8633/9423/9475/91653/22885/5336/2051/5290/2242/5535/1072/1020/2932/64221/10154/64101/4776/10500/3611/2048/1943/5881/25/4690/6092/64218/4636/57715/9723/2043/10507/4773/5295/6608/27289/4917",120
"Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","125/3293","203/8546",0.61576354679803,1.59803075339689,6.8274513400446,1.57086976778037e-11,2.73331339593784e-09,1.71142127331861e-09,"87/1284/3675/3918/4233/857/5058/3696/3691/858/5880/2335/7408/5154/2012/7791/5228/2316/56924/106821730/56034/81/3673/3693/5829/8503/3912/7058/824/60/71/7057/3694/3655/3909/10000/1282/103910/7424/1499/3914/1950/10627/5908/1288/3688/1956/3678/6464/7094/2534/1291/6714/10298/894/7423/5062/1399/3676/3371/5601/10398/9564/3479/6093/387/284217/1299/5594/10319/3672/330/2324/55742/5602/54776/5604/5159/7410/3908/998/3911/5879/7414/3910/5155/2317/1398/7450/5747/399694/1292/3685/572/329/5291/5499/29780/1298/9475/10451/1277/7422/5290/6654/2013/2932/4660/3611/22801/3480/3695/5881/5649/1285/896/4636/3915/5295/1278/6655/1286/3690/394/6696",125
"Human Diseases","Infectious disease: bacterial","hsa05132","Salmonella infection","144/3293","251/8546",0.573705179282869,1.48888079628041,6.22414701418329,6.86958450502657e-10,7.96871802583082e-08,4.98948769312456e-08,"302/5058/26084/5420/10109/2316/5585/5603/79792/3800/1781/5217/113146/6281/60/71/83439/84617/51429/10097/10000/113457/103910/3839/10095/1499/10627/3606/5287/834/3553/10333/5216/79026/837/6932/7132/3576/391/55770/197259/8717/6885/10810/2597/147700/5601/4646/6237/23207/10398/4074/5898/10381/7099/51626/57180/387/11035/5289/4671/26999/578/5594/112714/330/7879/581/3831/8737/5602/5604/5288/1432/10006/257397/114548/998/5879/3569/10094/10382/5868/7184/7097/7124/4790/114609/7846/51164/6993/8797/257364/1147/388/8795/1639/29108/3840/55207/836/7295/8743/60412/84516/329/5291/5600/4615/9842/7280/29109/347733/10096/9475/23643/8976/10787/7189/79443/54205/382/5290/1783/79861/8767/23118/10093/5608/83547/6990/10392/6934/84790/9648/51209/79659/4636/260334/124908013/124908015/124908041/929/51807",144
"Human Diseases","Infectious disease: bacterial","hsa05130","Pathogenic Escherichia coli infection","120/3293","203/8546",0.591133004926108,1.53410952326102,6.09769106288566,1.5681002938295e-09,1.36424725563166e-07,8.54202002165015e-08,"5058/4430/4643/4627/10109/9076/355/5603/9138/60/71/5861/84617/7430/10097/113457/10095/1902/79784/3606/57121/9871/3688/1365/834/4651/3553/837/7132/2534/3576/6714/8717/6885/5062/10810/2597/5601/4646/10381/7099/3059/6093/57180/387/4671/26999/578/10427/9368/24146/5594/112714/581/8737/5010/5602/2017/1432/10006/257397/114548/998/5879/3569/10094/10382/8440/7124/4790/114609/7846/8797/4645/1147/8795/2149/9181/29108/836/8743/2768/9826/3554/4642/9073/4644/1364/5600/4615/10672/7280/347733/100506658/10096/9475/10802/8976/10787/7189/10972/54205/382/4793/79861/23118/10093/9080/10686/25/84790/4690/260334/124908013/124908015/124908041/137075/7456/4629/51807",120
"Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","118/3293","204/8546",0.57843137254902,1.50114622223016,5.73578217948372,1.27039827189999e-08,8.84197197242393e-07,5.53626194280627e-07,"4233/857/5058/858/2335/2817/5567/5329/4478/6382/2316/6385/7476/355/3481/5603/3673/3693/5829/8503/7042/8826/2065/9138/60/71/7057/7480/8322/4313/7430/10000/1499/7040/960/3339/3688/1956/3678/5328/6714/3236/3091/1839/22800/3710/6237/3479/7099/3059/7074/6093/81029/387/10855/288/5594/2719/7078/117581/51196/2549/11211/54776/2017/286/5604/1432/7410/998/967/5879/7477/8326/867/7097/7124/7157/7473/5747/7474/8323/5727/4318/836/1026/4087/3685/3709/5291/5600/5499/3708/7479/8321/9475/10451/1277/7422/5336/2099/5290/6383/6654/287/6548/84309/4660/7855/22808/3480/8324/8325/5295/1278/6655/6608/3690",118
"Cellular Processes","Cellular community - eukaryotes","hsa04520","Adherens junction","62/3293","93/8546",0.666666666666667,1.73013462901103,5.60514929975748,3.17936453871089e-08,1.66918649995575e-06,1.04513492283981e-06,"87/4233/4088/5880/7048/56288/81/3643/8826/57493/60/71/83439/4008/9411/103910/6591/1499/5819/10627/5908/1956/57154/5818/6932/1459/5770/2534/6714/6885/10810/117178/10398/64750/6093/387/6615/5594/81607/7525/998/5879/7414/9855/7046/54922/1457/4301/2241/11235/4089/9475/8976/1496/6934/3480/5881/55698/4636/5787/283106/7454",62
"Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","130/3293","232/8546",0.560344827586207,1.45420798559117,5.55318249873907,3.35755905163513e-08,1.66918649995575e-06,1.04513492283981e-06,"9124/1284/3675/2274/6711/7169/3696/3691/2335/7791/5318/4627/6382/6385/2201/2192/4000/2275/3673/3693/7058/7171/64423/7431/60/71/7057/3694/1756/3655/1282/5339/2027/79784/114793/8572/1290/10529/3339/1462/1288/3688/4811/3728/4604/1832/3678/29766/481/9260/51332/1466/6640/375790/8910/7094/1291/6709/79188/64236/3676/10398/85301/1829/825/2200/288/284217/1299/8082/3672/7170/7111/3908/7414/271/84665/2006/6712/23345/10611/1292/3685/832/2199/1837/2273/1298/7138/1277/9672/50509/1824/6383/287/57731/57159/478/7139/22795/7135/84823/8557/6645/22801/1730/3695/7134/81624/171024/4001/6443/1285/7137/11155/91977/4636/7136/272/752/200539/4629/4621/1278/2026/161176/1286/3690/22989/2318",130
"Human Diseases","Infectious disease: bacterial","hsa05131","Shigellosis","137/3293","250/8546",0.548,1.42217066504707,5.36379145111312,9.06547406824174e-08,3.6761295065559e-06,2.30175077996695e-06,"87/340061/10109/5603/81/5829/8503/5331/10801/5217/824/60/71/10097/823/10000/103910/10095/10318/960/55964/10627/3606/3688/2931/1956/115004/3678/834/3553/5216/837/7094/7132/3576/2308/6714/113026/5588/8717/6885/718/1399/5601/3710/10398/81631/9564/8915/7099/3059/8945/6093/1437/54874/57180/387/5289/4671/58528/5333/5594/7323/80201/581/8737/51196/5602/2017/23291/1432/989/100132074/257397/114548/51619/998/5879/7414/10094/5332/7124/4790/7157/1398/5747/1147/3020/23176/9181/29108/3554/598/3709/84812/29110/5291/11146/5600/4615/3021/3708/10096/9475/8976/5580/7189/54205/5336/382/5290/4793/3661/664/4303/7316/5581/8767/7314/84557/23118/10093/2932/10392/3611/10616/23157/440093/333932/124404/126961/4636/23236/5330/929/5295/7188",137
"Environmental Information Processing","Signal transduction","hsa04390","Hippo signaling pathway","93/3293","157/8546",0.592356687898089,1.53728522768815,5.37957327713692,9.50723148247216e-08,3.6761295065559e-06,2.30175077996695e-06,"25937/122786/4088/7048/56288/7476/84552/7042/126374/60/71/7480/374/83439/8322/55233/84962/1741/6591/5054/7003/1499/7040/166824/3993/658/8313/7534/8463/6932/3398/8994/894/656/1739/5516/7533/650/8945/81029/6657/7161/6788/330/50855/1740/652/1454/11211/23291/7477/10971/26524/2246/8326/85409/7473/5521/7046/7474/8323/60485/7005/7529/23286/23513/4087/268/85407/7532/329/5499/10413/7479/4089/8321/1496/8312/5584/5522/1490/2932/7043/8200/7855/6934/896/1742/8324/353500/8325/154796/654",93
"Environmental Information Processing","Signal transduction","hsa04014","Ras signaling pathway","130/3293","238/8546",0.546218487394958,1.41754728007207,5.17242368945374,2.4777452617189e-07,8.62255351078176e-06,5.39887651764012e-06,"4233/810/5058/5880/5567/1969/5154/2113/5228/7039/9610/56924/106821730/56034/3481/4254/8503/2114/3643/5924/10000/7424/1946/1950/5908/1956/4909/5337/6464/10928/2263/55970/2791/55770/4804/283455/10298/3363/5899/22800/7423/5062/2250/255189/5601/6237/5321/1435/5898/9462/3479/805/7074/51365/387/1945/5594/10681/2324/6789/5320/2323/51196/2549/2788/23179/5602/27/5604/8398/5159/1942/998/11145/2787/5879/2902/2246/5155/5868/4790/399694/1147/1944/22821/627/5322/598/572/2784/29110/54331/5291/4301/5921/163688/5900/7422/5922/5336/382/253959/5290/51764/2786/6654/4303/64926/123745/2790/22808/7010/91860/3480/10125/5338/2264/1943/5881/25/283748/7535/5966/1436/4763/8605/5295/6655/26291/4803",130
